Metric,Climate,Group,Parameter,Class,Estimate,Est.Error,Q2.5,Q97.5
Temperature difference,Elevation,Elevation,B2,54.2-58.1,-7.1828447,2.8677229,-12.970073,-1.584014
Temperature difference,Elevation,Elevation,B2,58.1-62.1,-5.3452905,5.3109915,-15.43026,5.7685005
Temperature difference,Elevation,Elevation,B2,62.1-66.2,6.3810115,7.7319997,-7.939403,22.0369187
Temperature difference,Latitude,Latitude,Intercept,0-258,-0.14670238,0.24517984,-0.63638718,0.332859898
Temperature difference,Latitude,Latitude,Intercept,258-599,-0.09330711,0.0704394,-0.2344604,0.040687123
Temperature difference,Latitude,Latitude,Intercept,599-856,0.12085974,0.07112141,-0.0168284,0.260917572
Temperature difference,Latitude,Latitude,Intercept,856-1100,-0.07333778,0.03668812,-0.14501564,-0.001365504
Temperature difference,Latitude,Latitude,Intercept,1100-1320,-0.03964931,0.03020737,-0.10025498,0.018140935
Temperature difference,Latitude,Latitude,Intercept,1320-1500,-0.03963085,0.0314908,-0.10121496,0.021467479
Temperature difference,Latitude,Latitude,Intercept,1500-1670,0.33062696,0.06929699,0.19874067,0.467744359
Temperature difference,Latitude,Latitude,Intercept,1670-1870,0.34621411,0.05880146,0.23126095,0.460716349
Temperature difference,Latitude,Latitude,Intercept,1870-2090,0.19211733,0.0422413,0.10912298,0.275212044
Temperature difference,Latitude,Latitude,Intercept,2090-2330,0.19648613,0.03349231,0.1309672,0.261439841
Temperature difference,Latitude,Latitude,Intercept,2330-2780,0.1729228,0.05170894,0.07231716,0.276270422
Temperature difference,Latitude,Latitude,Intercept,2780-3740,-0.06938701,0.28319453,-0.70135214,0.437739396
Temperature difference,Latitude,Latitude,B1,0-258,4.222723,5.101622,-5.825229,14.20348
Temperature difference,Latitude,Latitude,B1,258-599,32.344098,2.805628,26.860584,37.85863
Temperature difference,Latitude,Latitude,B1,599-856,27.510106,2.337272,22.906313,32.02235
Temperature difference,Latitude,Latitude,B1,856-1100,37.563429,1.571441,34.51635,40.66204
Temperature difference,Latitude,Latitude,B1,1100-1320,38.401476,1.40793,35.675146,41.18307
